Name,50 FR 15,100 FR 15,200 FR 15,500 FR 15,1000 FR 15,1650 FR 15,100 BK 15,200 BK 15,100 BR 15,200 BR 15,100 FL 15,200 FL 15,200 IM 15,400 IM 15,50 FR 16,100 FR 16,200 FR 16,500 FR 16,1000 FR 16,1650 FR 16,100 BK 16,200 BK 16,100 BR 16,200 BR 16,100 FL 16,200 FL 16,200 IM 16,400 IM 16,50 FR 17,100 FR 17,200 FR 17,500 FR 17,1000 FR 17,1650 FR 17,100 BK 17,200 BK 17,100 BR 17,200 BR 17,100 FL 17,200 FL 17,200 IM 17,400 IM 17,50 FR 18,100 FR 18,200 FR 18,500 FR 18,1000 FR 18,1650 FR 18,100 BK 18,200 BK 18,100 BR 18,200 BR 18,100 FL 18,200 FL 18,200 IM 18,400 IM 18,Top 3 Power Points,Top 3 Ratio,Top 3 Improvement,Top 5 Improvement
Curtis Dauw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.35,0.0,0.0,51.91,117.33,115.39,245.76,21.9,47.92,103.7,0.0,0.0,0.0,53.25,116.94,0.0,0.0,50.87,112.3,113.48,245.52,21.1,45.93,103.24,0.0,0.0,0.0,63.7,139.37,67.01,182.43,49.46,112.48,112.03,260.12,24.89,53.1,0.0,0.0,0.0,0.0,62.34,0.0,0.0,0.0,48.82,106.64,110.57,246.01,953.3333333333334,96.60180002679934,6.601800026799328,11.974919332657572
Curtis Lovelace,23.12,50.54,0.0,0.0,0.0,0.0,56.71,0.0,59.83,128.25,54.45,123.54,116.51,254.98,22.69,48.63,0.0,313.6,0.0,0.0,53.96,125.13,57.85,125.46,52.87,117.05,114.39,248.63,21.71,48.23,108.51,0.0,0.0,0.0,53.58,118.96,56.48,122.99,51.74,115.73,110.13,241.75,21.87,49.3,109.09,0.0,0.0,0.0,52.81,136.68,54.88,119.89,50.49,117.03,109.07,237.47,982.3333333333334,95.9143883181043,5.914388318104316,8.094387806704772
Curtis Ogren,22.29,48.54,103.09,273.47,0.0,0.0,51.55,107.06,56.54,121.79,52.27,114.83,108.31,228.99,21.5,46.88,99.76,266.05,573.34,0.0,50.81,106.75,54.6,118.25,50.68,111.22,106.56,224.87,22.31,45.64,100.34,262.25,554.58,0.0,52.68,105.98,53.9,117.64,53.0,107.86,105.01,224.26,21.39,45.64,101.18,260.53,0.0,0.0,50.35,104.25,54.02,118.06,52.71,107.63,106.77,223.64,994.3333333333334,98.69270052646667,8.692700526466657,8.92964264161866
Cyrus Morrison,22.58,47.83,107.09,298.28,0.0,0.0,61.79,134.55,69.08,152.81,53.35,120.21,125.24,272.98,21.96,46.84,104.62,288.9,0.0,0.0,59.62,152.28,68.02,0.0,51.28,115.94,122.15,321.67,21.84,46.96,106.48,287.89,0.0,0.0,58.23,153.24,62.78,0.0,51.52,117.12,0.0,0.0,21.66,46.57,106.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.79,119.95,0.0,0.0,837.0,96.81459819118186,6.8145981911818545,5.973130271443807
D&#39;voreaux Cann,22.71,50.09,104.33,296.69,602.68,0.0,67.82,124.9,82.31,170.66,51.0,115.97,139.97,255.41,22.32,47.95,104.89,0.0,0.0,0.0,52.77,117.13,64.88,0.0,51.01,118.22,120.97,254.08,21.27,46.01,101.05,280.08,0.0,0.0,53.03,0.0,0.0,0.0,49.97,119.39,116.18,0.0,24.96,46.45,118.36,0.0,0.0,0.0,52.58,0.0,0.0,0.0,49.36,110.56,138.14,0.0,785.6666666666666,106.28778666655148,16.287786666551472,18.864876201135985
Daichi Matsuda,23.63,47.91,103.89,273.41,0.0,0.0,53.42,115.88,61.58,159.85,49.97,109.94,113.94,241.26,22.25,47.68,102.66,270.71,0.0,0.0,52.75,113.79,61.13,155.58,49.56,107.95,112.26,237.4,21.72,47.74,101.93,273.47,0.0,977.69,52.34,141.15,59.32,128.24,49.52,109.15,112.51,236.43,22.45,0.0,119.68,276.11,0.0,0.0,52.57,134.3,59.53,156.07,49.14,109.26,110.98,241.66,848.3333333333334,100.29257871988486,10.29257871988487,10.404851204286803
Dakota Hodgson,23.15,49.44,121.13,293.37,0.0,0.0,59.02,141.13,68.79,147.56,52.14,116.08,121.2,277.01,0.0,47.31,102.06,273.25,0.0,0.0,53.34,138.63,65.02,0.0,50.49,112.0,116.23,273.15,22.77,46.3,101.8,300.92,0.0,0.0,57.59,123.73,63.37,144.33,49.25,107.14,110.77,254.65,21.81,47.34,99.2,261.11,544.2,912.12,0.0,121.94,62.22,0.0,48.62,106.09,110.45,237.54,916.5,99.96947934376064,9.969479343760636,9.947574350982876
Dakota Mahaffey,22.2,48.34,101.8,283.43,0.0,0.0,50.85,112.32,66.04,174.96,59.38,122.73,122.46,306.89,21.79,47.37,100.03,273.95,0.0,0.0,48.82,109.96,71.44,140.48,53.97,117.54,112.04,254.7,21.88,46.01,99.73,277.87,0.0,0.0,48.73,107.97,61.0,168.4,51.9,141.67,113.01,0.0,21.11,46.51,100.29,265.35,0.0,0.0,49.73,108.38,0.0,0.0,51.63,0.0,113.24,0.0,933.6666666666666,97.59830884585556,7.5983088458555486,8.114432104189238
Dalton Shaw,24.18,51.09,105.84,285.36,0.0,1020.91,68.57,120.16,67.03,130.6,64.01,118.13,117.24,244.6,23.0,49.69,103.64,284.22,0.0,0.0,0.0,118.53,62.45,127.53,53.05,116.03,114.5,239.83,21.77,47.32,99.26,292.81,597.56,0.0,53.53,113.72,59.49,124.68,51.88,111.15,110.39,235.82,21.3,46.9,99.71,0.0,0.0,0.0,54.43,0.0,57.36,121.12,49.85,111.93,109.77,233.24,892.6666666666666,98.92788676733403,8.927886767334016,9.639195349528315
Damir Dugonjic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.51,0.0,0.0,0.0,0.0,0.0,1070.0,78.8404898465354,-11.159510153464588,-11.159510153464588
